B,C,E,F,G,H,I,J,K,L,M,N,O,P,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,MM,OO,PP,QQ,RR,SS,TT,UU,VV,YY,AAA,BBB,CCC,DDD,EEE,FFF,HHH,LLL
26-100,True,Not eligible for coverage / N/A,No Entry,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,True,"No, none did",N/A (not currently aware),I don't know,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,No,Yes,No,Yes,False,Not applicable to me,Not applicable to me,36-45,M,United Kingdom,United Kingdom,Sometimes
6-25,True,No,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,True,"Yes, they all did",I was aware of some,None did,Some did,"Yes, always",None of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Maybe,No,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Sometimes,25-35,M,United States of America,United States of America,Never
6-25,True,No,No Entry,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,True,"No, none did",N/A (not currently aware),None did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,I don't know,Some of them,Yes,Yes,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,No,Maybe,No,No,True,Not applicable to me,Not applicable to me,36-45,M,United Kingdom,United Kingdom,Always
6-25,False,Yes,Yes,No,No,No,Neither easy nor difficult,Yes,Maybe,Maybe,No,No,No,True,I don't know,N/A (not currently aware),Some did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,True,Sometimes,Sometimes,36-45,F,United States of America,United States of America,Sometimes
More than 1000,True,Yes,I am not sure,No,Yes,Yes,Somewhat easy,Yes,Yes,Maybe,Yes,No,Yes,True,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",No,No,No,Yes,No,True,Not applicable to me,Often,36-45,M,United Kingdom,United Kingdom,Sometimes
26-100,True,I don't know,No,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,True,Some did,I was aware of some,None did,Some did,I don't know,None of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",Some did,None of them,Yes,Yes,"Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,25-35,M,United States of America,United States of America,Sometimes
More than 1000,True,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,True,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,Yes,True,Sometimes,Often,36-45,F,United States of America,United States of America,Always
26-100,False,I don't know,No,No,No,I don't know,Very difficult,Yes,Yes,Yes,Maybe,No,No,True,I don't know,N/A (not currently aware),Some did,None did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,Maybe,Maybe,"Yes, they do",Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,True,Rarely,Often,36-45,F,United States of America,United States of America,Sometimes
26-100,True,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,True,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Yes,Yes,"No, I don't think it would",Maybe,Very open,"Yes, I observed",Maybe,I don't know,Yes,Yes,Yes,True,Sometimes,Often,25-35,M,United States of America,United States of America,Never
100-500,False,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,No,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,No,No Entry,Yes,Yes,Yes,Yes,True,Never,Rarely,25-35,M,United States of America,United States of America,Sometimes
100-500,True,Yes,I am not sure,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,No,True,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,"Yes, they all did",None of them,No,No,"No, it has not","No, they do not",Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Sometimes,25-35,F,United States of America,United States of America,Always
100-500,False,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,No,Maybe,Yes,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,Some of my previous employers,None did,Some of them,Yes,No,Maybe,"Yes, I think they would",Not open at all,"Yes, I experienced",Maybe,No,Maybe,Maybe,No,False,Not applicable to me,Sometimes,36-45,M,Canada,Canada,Sometimes
100-500,True,Yes,Yes,No,I don't know,Yes,Very easy,No,No,Yes,Yes,No,No,True,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,No,"No, it has not","No, they do not",Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Sometimes,Sometimes,25-35,M,United States of America,United States of America,Always
100-500,True,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,True,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Neutral,No,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Sometimes,45>,M,United States of America,United States of America,Sometimes
26-100,True,Not eligible for coverage / N/A,No,No,No,I don't know,Very difficult,Maybe,No,Maybe,Maybe,No,No,True,"No, none did","No, I only became aware later",None did,None did,No,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,No,"Yes, it has","No, I don't think they would",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,True,Sometimes,Often,25-35,F,Canada,Canada,Always
500-1000,True,No,No,No,No,I don't know,I don't know,Maybe,No,Yes,Maybe,No,No,True,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,No,No,No,No,False,Not applicable to me,Not applicable to me,25-35,M,United Kingdom,United Kingdom,Never
100-500,False,I don't know,No,No,No,I don't know,I don't know,Yes,No,No,No,Yes,No,True,I don't know,N/A (not currently aware),None did,Some did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Sometimes,25-35,M,United States of America,United States of America,Sometimes
6-25,True,No,No Entry,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,True,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Maybe,Yes,Maybe,No,No,False,Not applicable to me,Not applicable to me,25-35,M,United States of America,United States of America,Sometimes
